,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes
0,"Bradley Cooper, Kyle Gallner, Cole Konis, Ben Reed",Won 1 Oscar. Another 23 wins & 42 nominations.,"$274,377,268",USA,19 May 2015,Clint Eastwood,"Action, Biography, Drama","English, Arabic",72,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty, however, Chris finds that it is the war he can't leave behind.",https://ia.media-imdb.com/images/M/MV5BMTkxNzI3ODI4Nl5BMl5BanBnXkFtZTgwMjkwMjY4MjE@._V1_SX300.jpg,Warner Bros.,R,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",16 Jan 2015,True,133 min,American Sniper,movie,http://www.americansnipermovie.com,"Jason Hall, Chris Kyle (book), Scott McEwen (book), Jim DeFelice (book)",2014,tt2179136,7.3,"376,244"
1,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",Nominated for 1 Golden Globe. Another 21 wins & 31 nominations.,"$295,457,212",USA,06 Mar 2015,Francis Lawrence,"Action, Adventure, Sci-Fi",English,64,"Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.",https://ia.media-imdb.com/images/M/MV5BMTcxNDI2NDAzNl5BMl5BanBnXkFtZTgwODM3MTc2MjE@._V1_SX300.jpg,Lionsgate Films,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",21 Nov 2014,True,123 min,The Hunger Games: Mockingjay - Part 1,movie,http://www.facebook.com/thehungergamesmovie,"Peter Craig (screenplay), Danny Strong (screenplay), Suzanne Collins (adaptation), Suzanne Collins (novel)",2014,tt1951265,6.7,"355,813"
2,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",Nominated for 2 Oscars. Another 52 wins & 99 nominations.,"$270,592,504",USA,09 Dec 2014,James Gunn,"Action, Adventure, Sci-Fi",English,76,A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.,https://ia.media-imdb.com/images/M/MV5BMTAwMjU5OTgxNjZeQTJeQWpwZ15BbWU4MDUxNDYxODEx._V1_SX300.jpg,Walt Disney Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",01 Aug 2014,True,121 min,Guardians of the Galaxy,movie,http://marvel.com/guardians,"James Gunn, Nicole Perlman, Dan Abnett (based on the Marvel comics by), Andy Lanning (based on the Marvel comics by), Bill Mantlo (character created by: Rocket Raccoon), Keith Giffen (character created by: Rocket Raccoon), Jim Starlin (characters created by: Drax the Destroyer,  Gamora & Thanos), Steve Englehart (character created by: Star-Lord), Steve Gan (character created by: Star-Lord), Steve Gerber (character created by: Howard the Duck), Val Mayerik (character created by: Howard the Duck)",2014,tt2015381,8.1,"835,288"
3,"Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford",Nominated for 1 Oscar. Another 5 wins & 50 nominations.,"$228,636,083",USA,09 Sep 2014,"Anthony Russo, Joe Russo","Action, Adventure, Sci-Fi","English, French",70,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjM2NzUzNzQwNl5BMl5BanBnXkFtZTgwMDQ1MDkwMTE@._V1_SX300.jpg,Walt Disney Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",04 Apr 2014,True,136 min,Captain America: The Winter Soldier,movie,http://marvel.com/captainamerica,"Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Joe Simon (based on the Marvel comic by), Jack Kirby (based on the Marvel comic by)",2014,tt1843866,7.8,"583,132"
4,"Will Arnett, Elizabeth Banks, Craig Berry, Alison Brie",Nominated for 1 Oscar. Another 73 wins & 61 nominations.,"$244,870,202","Australia, USA, Denmark",17 Jun 2014,"Phil Lord, Christopher Miller","Animation, Action, Adventure",English,83,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",https://ia.media-imdb.com/images/M/MV5BMTg4MDk1ODExN15BMl5BanBnXkFtZTgwNzIyNjg3MDE@._V1_SX300.jpg,Warner Bros. Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",07 Feb 2014,True,100 min,The Lego Movie,movie,http://thelegomovie.warnerbros.com/,"Phil Lord (screenplay), Christopher Miller (screenplay), Dan Hageman (story), Kevin Hageman (story), Phil Lord (story), Christopher Miller (story), Ole Kirk Christiansen (based on LEGO Construction Toys created by), Godtfred Kirk Christiansen (based on LEGO Construction Toys created by), Jens Nygaard Knudsen (based on LEGO Construction Toys created by), Peter Laird (characters created by: Teenage Mutant Ninja Turtles), Kevin Eastman (characters created by: Teenage Mutant Ninja Turtles)",2014,tt1490017,7.8,"284,157"
5,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott",Nominated for 1 Oscar. Another 7 wins & 51 nominations.,"$187,747,747","New Zealand, USA",24 Mar 2015,Peter Jackson,"Adventure, Fantasy",English,59,Bilbo and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,https://images-na.ssl-images-amazon.com/images/M/MV5BODAzMDgxMDc1MF5BMl5BanBnXkFtZTgwMTI0OTAzMjE@._V1_SX300.jpg,Warner Bros.,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",17 Dec 2014,True,144 min,The Hobbit: The Battle of the Five Armies,movie,http://www.thehobbit.com/,"Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Guillermo del Toro (screenplay), J.R.R. Tolkien (novel)",2014,tt2310332,7.4,"409,028"
6,"Mark Wahlberg, Stanley Tucci, Kelsey Grammer, Nicola Peltz",5 wins & 23 nominations.,"$206,755,538","USA, China",30 Sep 2014,Michael Bay,"Action, Adventure, Sci-Fi",English,32,"Autobots must escape sight from a bounty hunter who has taken control of the human serendipity: Unexpectedly, Optimus Prime and his remaining gang turn to a mechanic, his daughter, and her back street racing boyfriend for help.",https://ia.media-imdb.com/images/M/MV5BMjE1OTMyODA5M15BMl5BanBnXkFtZTgwMjc2MDk3MTE@._V1_SX300.jpg,Paramount Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",27 Jun 2014,True,165 min,Transformers: Age of Extinction,movie,http://TransformersMovie.com,Ehren Kruger,2014,tt2109248,5.7,"270,377"
7,"Angelina Jolie, Elle Fanning, Sharlto Copley, Lesley Manville",Nominated for 1 Oscar. Another 10 wins & 42 nominations.,"$190,871,149",USA,04 Nov 2014,Robert Stromberg,"Action, Adventure, Family",English,56,"A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land.",https://ia.media-imdb.com/images/M/MV5BMjAwMzAzMzExOF5BMl5BanBnXkFtZTgwOTcwMDA5MTE@._V1_SX300.jpg,Walt Disney Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",30 May 2014,True,97 min,Maleficent,movie,http://disney.com/Maleficent,"Linda Woolverton (screenplay by), Charles Perrault (based on ""La Belle au bois dormant"" written by)",2014,tt1587310,7.0,"286,138"
8,"Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence",Nominated for 1 Oscar. Another 15 wins & 47 nominations.,"$199,305,306","USA, UK, Canada",14 Oct 2014,Bryan Singer,"Action, Adventure, Sci-Fi","English, Vietnamese, French",74,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,https://ia.media-imdb.com/images/M/MV5BZGIzNWYzN2YtMjcwYS00YjQ3LWI2NjMtOTNiYTUyYjE2MGNkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",23 May 2014,True,132 min,X-Men: Days of Future Past,movie,http://www.x-menmovies.com/,"Simon Kinberg (screenplay by), Jane Goldman (story by), Simon Kinberg (story by), Matthew Vaughn (story by)",2014,tt1877832,8.0,"580,694"
9,"Scott Adsit, Ryan Potter, Daniel Henney, T.J. Miller",Won 1 Oscar. Another 16 wins & 57 nominations.,N/A,USA,24 Feb 2015,"Don Hall, Chris Williams","Animation, Action, Adventure",English,74,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",https://ia.media-imdb.com/images/M/MV5BMDliOTIzNmUtOTllOC00NDU3LWFiNjYtMGM0NDc1YTMxNjYxXkEyXkFqcGdeQXVyNTM3NzExMDQ@._V1_SX300.jpg,Walt Disney Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",07 Nov 2014,True,102 min,Big Hero 6,movie,http://www.disney.com/BigHero6,"Jordan Roberts (screenplay by), Robert L. Baird (screenplay by), Daniel Gerson (screenplay by), Man of Action (Big Hero 6 team and characters created by), Steven T. Seagle (characters), Duncan Rouleau (characters), Joe Kelly (characters), Joe Casey (characters)",2014,tt2245084,7.8,"336,762"
