,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes
0,"Ewan McGregor, Natalie Portman, Hayden Christensen, Ian McDiarmid",Nominated for 1 Oscar. Another 25 wins & 56 nominations.,N/A,USA,01 Nov 2005,George Lucas,"Action, Adventure, Fantasy",English,68,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTc4MTc3NTQ5OF5BMl5BanBnXkFtZTcwOTg0NjI4NA@@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",19 May 2005,True,140 min,Star Wars: Episode III - Revenge of the Sith,movie,http://www.starwars.com/,George Lucas,2005,tt0121766,7.6,"594,864"
1,"Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell",Won 1 Oscar. Another 14 wins & 46 nominations.,"$291,685,219","USA, UK",04 Apr 2006,Andrew Adamson,"Adventure, Family, Fantasy","English, German",75,Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.,https://ia.media-imdb.com/images/M/MV5BMTc0NTUwMTU5OV5BMl5BanBnXkFtZTcwNjAwNzQzMw@@._V1_SX300.jpg,Buena Vista,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",09 Dec 2005,True,143 min,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",movie,http://www.narnia.com/,"Ann Peacock (screenplay), Andrew Adamson (screenplay), Christopher Markus (screenplay), Stephen McFeely (screenplay), C.S. Lewis (book)",2005,tt0363771,6.9,"321,011"
2,"Eric Sykes, Timothy Spall, David Tennant, Daniel Radcliffe",Nominated for 1 Oscar. Another 13 wins & 42 nominations.,"$289,994,397","UK, USA",07 Mar 2006,Mike Newell,"Adventure, Family, Fantasy","English, French",81,"A young wizard finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",https://ia.media-imdb.com/images/M/MV5BMTI1NDMyMjExOF5BMl5BanBnXkFtZTcwOTc4MjQzMQ@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",18 Nov 2005,True,157 min,Harry Potter and the Goblet of Fire,movie,http://harrypotter.warnerbros.com/gobletoffire/,"Steve Kloves (screenplay), J.K. Rowling (novel)",2005,tt0330373,7.7,"445,699"
3,"Tom Cruise, Dakota Fanning, Miranda Otto, Justin Chatwin",Nominated for 3 Oscars. Another 14 wins & 44 nominations.,"$234,141,872",USA,22 Nov 2005,Steven Spielberg,"Adventure, Sci-Fi, Thriller",English,73,"As Earth is invaded by alien tripod fighting machines, one family fights for survival.",https://ia.media-imdb.com/images/M/MV5BNDUyODAzNDI1Nl5BMl5BanBnXkFtZTcwMDA2NDAzMw@@._V1_SX300.jpg,Paramount Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",29 Jun 2005,True,116 min,War of the Worlds,movie,http://www.waroftheworlds.com/,"Josh Friedman (screenplay), David Koepp (screenplay), H.G. Wells (novel)",2005,tt0407304,6.5,"366,410"
4,"Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann",Won 3 Oscars. Another 43 wins & 100 nominations.,"$218,100,000","New Zealand, USA, Germany",28 Mar 2006,Peter Jackson,"Action, Adventure, Drama",English,81,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to the mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with leading lady Ann Darrow.",https://ia.media-imdb.com/images/M/MV5BMjYxYmRlZWYtMzAwNC00MDA1LWJjNTItOTBjMzlhNGMzYzk3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",14 Dec 2005,True,187 min,King Kong,movie,http://www.kingkongmovie.com/,"Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Merian C. Cooper (based on a story by), Edgar Wallace (based on a story by)",2005,tt0360717,7.2,"347,854"
5,"Owen Wilson, Vince Vaughn, Christopher Walken, Rachel McAdams",11 wins & 11 nominations.,"$209,218,368",USA,03 Jan 2006,David Dobkin,"Comedy, Romance",English,64,"John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary.",https://ia.media-imdb.com/images/M/MV5BZmJkNzViYjYtZWZlNy00OGE4LWI2MzUtYTcwNjY3Y2MyODIwXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,New Line Cinema,R,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",15 Jul 2005,True,119 min,Wedding Crashers,movie,http://www.weddingcrashersmovie.com/,"Steve Faber, Bob Fisher",2005,tt0396269,7.0,"301,916"
6,"Christian Bale, Michael Caine, Liam Neeson, Katie Holmes",Nominated for 1 Oscar. Another 14 wins & 72 nominations.,"$204,100,000","USA, UK",18 Oct 2005,Christopher Nolan,"Action, Adventure, Thriller","English, Urdu, Mandarin",70,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from the corruption that Scarecrow and the League of Shadows have cast upon it.",https://ia.media-imdb.com/images/M/MV5BYzc4ODgyZmYtMGFkZC00NGQyLWJiMDItMmFmNjJiZjcxYzVmXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",15 Jun 2005,True,140 min,Batman Begins,movie,http://www.batmanbegins.com/,"Bob Kane (characters), David S. Goyer (story), Christopher Nolan (screenplay), David S. Goyer (screenplay)",2005,tt0372784,8.3,"1,115,046"
7,"Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter",Nominated for 1 Oscar. Another 14 wins & 50 nominations.,"$206,100,000","USA, UK, Australia",07 Nov 2005,Tim Burton,"Adventure, Comedy, Family",English,72,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",https://ia.media-imdb.com/images/M/MV5BNjcxMjg1Njg2NF5BMl5BanBnXkFtZTcwMjQ4NzMzMw@@._V1_SX300.jpg,Warner Bros. Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",15 Jul 2005,True,115 min,Charlie and the Chocolate Factory,movie,http://chocolatefactorymovie.warnerbros.com/,"Roald Dahl (book), John August (screenplay)",2005,tt0367594,6.7,"363,521"
8,"Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith",4 wins & 31 nominations.,"$193,136,719",USA,15 Nov 2005,"Eric Darnell, Tom McGrath","Animation, Adventure, Comedy","English, Portuguese, Spanish, German, French",57,"Spoiled by their upbringing and unaware of what wildlife really is, four animals from the New York Central Zoo escape, unwittingly assisted by four absconding penguins, and find themselves in Madagascar.",https://ia.media-imdb.com/images/M/MV5BN2I5YzFlYWEtZjRhNy00ZmQzLWJhNTktZGIwYjFjODdmNDgxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Dreamworks,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",27 May 2005,True,86 min,Madagascar,movie,http://www.madagascar-themovie.com/,"Mark Burton, Billy Frolick, Eric Darnell, Tom McGrath",2005,tt0351283,6.9,"304,552"
9,"Brad Pitt, Angelina Jolie, Vince Vaughn, Adam Brody",9 wins & 18 nominations.,"$186,200,000",USA,29 Nov 2005,Doug Liman,"Action, Comedy, Crime","English, Spanish",55,A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.,https://ia.media-imdb.com/images/M/MV5BMTUxMzcxNzQzOF5BMl5BanBnXkFtZTcwMzQxNjUyMw@@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",10 Jun 2005,True,120 min,Mr. & Mrs. Smith,movie,http://www.mrandmrssmithmovie.com/,Simon Kinberg,2005,tt0356910,6.5,"392,650"
10,"Will Smith, Eva Mendes, Kevin James, Amber Valletta",4 wins & 24 nominations.,"$177,575,142",USA,14 Jun 2005,Andy Tennant,"Comedy, Romance",English,58,"While helping his latest client woo the fine lady of his dreams, a professional ""date doctor"" finds that his game doesn't quite work on the gossip columnist with whom he's smitten.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzYyNzM2NzM2NF5BMl5BanBnXkFtZTcwNjg5NTQzMw@@._V1_SX300.jpg,Sony Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",11 Feb 2005,True,118 min,Hitch,movie,http://www.sonypictures.com/movies/hitch/,Kevin Bisch,2005,tt0386588,6.6,"264,484"
11,"Adam Sandler, Chris Rock, Burt Reynolds, Nelly",2 wins & 17 nominations.,"$157,900,000",USA,03 Aug 2004,Peter Segal,"Comedy, Crime, Sport",English,48,Prison inmates form a football team to challenge the prison guards.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1NTQyNDk2NV5BMl5BanBnXkFtZTcwOTE2OTQzMw@@._V1_SX300.jpg,Paramount Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",27 May 2005,True,113 min,The Longest Yard,movie,http://www.longestyard.com,"Albert S. Ruddy (story), Tracy Keenan Wynn, Sheldon Turner (screenplay)",2005,tt0398165,6.4,"142,145"
12,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis",3 wins & 12 nominations.,"$154,485,963","USA, Germany",06 Dec 2005,Tim Story,"Action, Adventure, Family",English,40,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",https://ia.media-imdb.com/images/M/MV5BNWU1ZjFjMTctYjA5ZC00YTBkLTkzZjUtZWEyMjgxY2MxYWM4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",08 Jul 2005,True,106 min,Fantastic Four,movie,http://www.fantasticfourmovie.com/,"Mark Frost, Michael France, Stan Lee (Marvel comic book), Jack Kirby (Marvel comic book)",2005,tt0120667,5.7,"284,782"
13,"Zach Braff, Garry Marshall, Don Knotts, Patrick Stewart",4 wins & 15 nominations.,"$135,289,768","USA, India, Syria, China",21 Mar 2006,Mark Dindal,"Animation, Adventure, Comedy","English, Hindi, Bengali",48,"After ruining his reputation with the town, a courageous chicken must come to the rescue of his fellow citizens when aliens start an invasion.",https://ia.media-imdb.com/images/M/MV5BMTcwMjMwNTA3MV5BMl5BanBnXkFtZTcwMjk4OTgyMQ@@._V1_SX300.jpg,Buena Vista Pictures,G,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",04 Nov 2005,True,81 min,Chicken Little,movie,http://disney.go.com/disneypictures/chickenlittle/index.html,"Mark Dindal (story by), Mark Kennedy (story by), Steve Bencich (screenplay by), Ron J. Friedman (screenplay by), Ron Anderson (screenplay by), Robert L. Baird (additional story material), Daniel Gerson (additional story material), Sara Parriott (additional screenplay material), Josann McGibbon (additional screenplay material), David Reynolds (additional dialogue), Sandra Tsing Loh (additional dialogue)",2005,tt0371606,5.8,"72,847"
14,"Paula Abdul, Halle Berry, Lucille Bliss, Terry Bradshaw",2 wins & 22 nominations.,"$128,107,031",USA,20 Sep 2005,"Chris Wedge, Carlos Saldanha(co-director)","Animation, Adventure, Comedy","English, Italian",64,"In a robot world, a young idealistic inventor travels to the big city to join his inspiration's company, only to find himself opposing its sinister new management.",https://ia.media-imdb.com/images/M/MV5BZmJhNTQwY2MtYTU0Yy00NDVhLThiZTktNmMxZTk5Nzk3NzE2XkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,20th Century Fox,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",11 Mar 2005,True,91 min,Robots,movie,http://www.robotsmovie.com/,"Ron Mita (story), Jim McClain (story), David Lindsay-Abaire (story), David Lindsay-Abaire (screenplay), Lowell Ganz (screenplay), Babaloo Mandel (screenplay)",2005,tt0358082,6.3,"114,975"
15,"Joaquin Phoenix, Reese Witherspoon, Ginnifer Goodwin, Robert Patrick",Won 1 Oscar. Another 44 wins & 46 nominations.,"$119,317,827","USA, Germany",28 Feb 2006,James Mangold,"Biography, Drama, Music","English, Russian",72,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins.",https://ia.media-imdb.com/images/M/MV5BMjIyOTU3MjUxOF5BMl5BanBnXkFtZTcwMTQ0NjYzMw@@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",18 Nov 2005,True,136 min,Walk the Line,movie,http://www.walkthelinethemovie.com/,"Johnny Cash (book), Johnny Cash (book), Gill Dennis, James Mangold",2005,tt0358273,7.9,"202,864"
16,"Vin Diesel, Lauren Graham, Faith Ford, Brittany Snow",1 win & 10 nominations.,"$113,006,880","Canada, USA",28 Jun 2005,Adam Shankman,"Action, Comedy, Drama","English, Korean",30,"Having recovered from wounds received in a failed rescue operation, Navy SEAL Shane Wolfe is handed a new assignment: Protect the five Plummer kids from enemies of their recently deceased father -- a government scientist whose top-secret experiment remains in the kids' house.",https://ia.media-imdb.com/images/M/MV5BMTQ2MTYxNzM3M15BMl5BanBnXkFtZTcwNTEzNTgyMQ@@._V1_SX300.jpg,Buena Vista,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",04 Mar 2005,True,95 min,The Pacifier,movie,http://disney.go.com/disneypictures/main.html?dlink=pacifier,"Thomas Lennon, Robert Ben Garant",2005,tt0395699,5.6,"75,646"
