,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes
0,"Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church",Nominated for 1 BAFTA Film Award. Another 3 wins & 32 nominations.,"$336,530,303",USA,30 Oct 2007,Sam Raimi,"Action, Adventure, Sci-Fi","English, French",59,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",https://ia.media-imdb.com/images/M/MV5BYTk3MDljOWQtNGI2My00OTEzLTlhYjQtOTQ4ODM2MzUwY2IwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Sony Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",04 May 2007,True,139 min,Spider-Man 3,movie,http://www.sonypictures.com/movies/spiderman3/site/,"Sam Raimi (screenplay), Ivan Raimi (screenplay), Alvin Sargent (screenplay), Sam Raimi (screen story), Ivan Raimi (screen story), Stan Lee (Marvel comic book), Steve Ditko (Marvel comic book)",2007,tt0413300,6.2,"431,216"
1,"Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas",Nominated for 1 BAFTA Film Award. Another 5 wins & 15 nominations.,"$320,706,665",USA,13 Nov 2007,"Chris Miller, Raman Hui(co-director)","Animation, Adventure, Comedy",English,58,"When his new father-in-law, King Harold falls ill, Shrek is looked at as the heir to the land of Far, Far Away. Not one to give up his beloved swamp, Shrek recruits his friends Donkey and Puss in Boots to install the rebellious Artie as the new king. Princess Fiona, however, rallies a band of royal girlfriends to fend off a coup d'etat by the jilted Prince Charming.",https://ia.media-imdb.com/images/M/MV5BOTgyMjc3ODk2MV5BMl5BanBnXkFtZTcwMjY0MjEzMw@@._V1_SX300.jpg,Dreamworks,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",18 May 2007,True,93 min,Shrek the Third,movie,http://www.shrek.com/,"Jeffrey Price (screenplay by), Peter S. Seaman (screenplay by), Chris Miller (screenplay by), Aron Warner (screenplay by), Andrew Adamson (story by), William Steig (based upon the book by)",2007,tt0413267,6.0,"237,834"
2,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",Nominated for 3 Oscars. Another 20 wins & 41 nominations.,"$319,014,499",USA,16 Oct 2007,Michael Bay,"Action, Adventure, Sci-Fi","English, Spanish",61,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.",https://ia.media-imdb.com/images/M/MV5BNDg1NTU2OWEtM2UzYi00ZWRmLWEwMTktZWNjYWQ1NWM1OThjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Dreamworks,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",03 Jul 2007,True,144 min,Transformers,movie,http://www.transformersmovie.com/,"Roberto Orci (screenplay), Alex Kurtzman (screenplay), John Rogers (story), Roberto Orci (story), Alex Kurtzman (story)",2007,tt0418279,7.1,"550,622"
3,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley",Nominated for 2 Oscars. Another 20 wins & 44 nominations.,"$309,404,152",USA,04 Dec 2007,Gore Verbinski,"Action, Adventure, Fantasy",English,50,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.",https://ia.media-imdb.com/images/M/MV5BMjIyNjkxNzEyMl5BMl5BanBnXkFtZTYwMjc3MDE3._V1_SX300.jpg,Buena Vista,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",25 May 2007,True,169 min,Pirates of the Caribbean: At World's End,movie,http://disney.go.com/disneypictures/pirates/atworldsend/,"Ted Elliott, Terry Rossio, Ted Elliott (characters), Terry Rossio (characters), Stuart Beattie (characters), Jay Wolpert (characters)",2007,tt0449088,7.1,"526,511"
4,"Daniel Radcliffe, Harry Melling, Jason Boyd, Richard Macklin",Nominated for 2 BAFTA Film Awards. Another 14 wins & 40 nominations.,"$291,980,108","UK, USA",11 Nov 2007,David Yates,"Adventure, Family, Fantasy",English,71,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",https://ia.media-imdb.com/images/M/MV5BMTM0NTczMTUzOV5BMl5BanBnXkFtZTYwMzIxNTg3._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",11 Jul 2007,True,138 min,Harry Potter and the Order of the Phoenix,movie,http://www.harrypotterorderofthephoenix.com/,"Michael Goldenberg (screenplay), J.K. Rowling (novel)",2007,tt0373889,7.5,"415,963"
5,"Will Smith, Alice Braga, Charlie Tahan, Salli Richardson-Whitfield",9 wins & 22 nominations.,"$256,399,999",USA,18 Mar 2008,Francis Lawrence,"Drama, Horror, Sci-Fi",English,65,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",https://ia.media-imdb.com/images/M/MV5BYTE1ZTBlYzgtNmMyNS00ZTQ2LWE4NjEtZjUxNDJkNTg2MzlhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",14 Dec 2007,True,101 min,I Am Legend,movie,http://iamlegend.warnerbros.com/,"Mark Protosevich (screenplay), Akiva Goldsman (screenplay), Richard Matheson (novel), John William Corrington, Joyce Hooper Corrington",2007,tt0480249,7.2,"596,738"
6,"Matt Damon, Julia Stiles, David Strathairn, Scott Glenn",Won 3 Oscars. Another 26 wins & 39 nominations.,"$227,400,000","USA, Germany, France, Spain",11 Dec 2007,Paul Greengrass,"Action, Mystery, Thriller","English, French, Arabic, Russian, Spanish",85,Jason Bourne dodges a ruthless CIA official and his agents from a new assassination program while searching for the origins of his life as a trained killer.,https://ia.media-imdb.com/images/M/MV5BNGNiNmU2YTMtZmU4OS00MjM0LTlmYWUtMjVlYjAzYjE2N2RjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",03 Aug 2007,True,115 min,The Bourne Ultimatum,movie,http://www.thebourneultimatum.com/,"Tony Gilroy (screenplay), Scott Z. Burns (screenplay), George Nolfi (screenplay), Tony Gilroy (screen story), Robert Ludlum (novel)",2007,tt0440963,8.0,"557,724"
7,"Nicolas Cage, Justin Bartha, Diane Kruger, Jon Voight",1 win & 5 nominations.,"$219,932,519",USA,18 May 2008,Jon Turteltaub,"Action, Adventure, Family","English, French",48,Benjamin Gates must follow a clue left in John Wilkes Booth's diary to prove his ancestor's innocence in the assassination of Abraham Lincoln.,https://ia.media-imdb.com/images/M/MV5BMTU2NTM3NjU1N15BMl5BanBnXkFtZTcwODg1MDU1MQ@@._V1_SX300.jpg,Buena Vista Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",21 Dec 2007,True,124 min,National Treasure: Book of Secrets,movie,http://nationaltreasure.com/,"Marianne Wibberley (screenplay), Cormac Wibberley (screenplay), Gregory Poirier (story), Marianne Wibberley (story), Cormac Wibberley (story), Ted Elliott (story), Terry Rossio (story), Jim Kouf (characters), Oren Aviv (characters), Charles Segars (characters)",2007,tt0465234,6.5,"196,689"
8,"Jason Lee, David Cross, Cameron Richardson, Jane Lynch",3 wins & 2 nominations.,"$217,172,612",USA,01 Apr 2008,Tim Hill,"Animation, Comedy, Family","English, French, Spanish, Japanese",39,"A struggling songwriter named Dave Seville finds success when he comes across a trio of singing chipmunks: mischievous leader Alvin, brainy Simon, and chubby, impressionable Theodore.",https://ia.media-imdb.com/images/M/MV5BMjdmNWY4MjItMjBiMi00MWNiLWI0ZjctYzBjZmEzOGRmNTc5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,20th Century Fox,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",14 Dec 2007,True,92 min,Alvin and the Chipmunks,movie,http://www.alvinandthechipmunksmovie.com/,"Jon Vitti (screenplay), Will McRobb (screenplay), Chris Viscardi (screenplay), Jon Vitti (story), Ross Bagdasarian (characters Alvin and the Chipmunks)",2007,tt0952640,5.2,"64,136"
9,"Patton Oswalt, Ian Holm, Lou Romano, Brian Dennehy",Won 1 Oscar. Another 64 wins & 42 nominations.,"$112,408,657",USA,06 Nov 2007,"Brad Bird, Jan Pinkava(co-director)","Animation, Adventure, Comedy","English, French",96,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,https://ia.media-imdb.com/images/M/MV5BMTMzODU0NTkxMF5BMl5BanBnXkFtZTcwMjQ4MzMzMw@@._V1_SX300.jpg,Disney/Pixar,G,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",29 Jun 2007,True,111 min,Ratatouille,movie,http://www.ratatouille.com/,"Brad Bird (screenwriter), Jan Pinkava (original story by), Jim Capobianco (original story by), Brad Bird (original story by), Emily Cook (additional story material), Kathy Greenberg (additional story material), Bob Peterson (additional story material)",2007,tt0382932,8.0,"532,205"
