,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes
0,"Mike Myers, Eddie Murphy, Cameron Diaz, Julie Andrews",Nominated for 2 Oscars. Another 18 wins & 50 nominations.,"$436,471,036",USA,02 Nov 2004,"Andrew Adamson, Kelly Asbury, Conrad Vernon","Animation, Adventure, Comedy",English,75,Princess Fiona's parents invite her and Shrek to dinner to celebrate her marriage. If only they knew the newlyweds were both ogres.,https://images-na.ssl-images-amazon.com/images/M/MV5BMDJhMGRjN2QtNDUxYy00NGM3LThjNGQtMmZiZTRhNjM4YzUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,DreamWorks SKG,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",19 May 2004,True,93 min,Shrek 2,movie,http://www.shrek2.com/,"William Steig (book), Andrew Adamson (story), Andrew Adamson (screenplay), Joe Stillman (screenplay), J. David Stem (screenplay), David N. Weiss (screenplay), Cody Cameron (additional dialogue), Walt Dohrn (additional dialogue), Chris Miller (additional dialogue), David P. Smith (additional dialogue), Conrad Vernon (additional dialogue), Charles Perrault (characters), Jeff Snow (story)",2004,tt0298148,7.2,"351,661"
1,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina",Won 1 Oscar. Another 23 wins & 59 nominations.,"$373,377,893",USA,30 Nov 2004,Sam Raimi,"Action, Adventure, Sci-Fi","English, Russian, Chinese",83,Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,https://images-na.ssl-images-amazon.com/images/M/MV5BMzY2ODk4NmUtOTVmNi00ZTdkLTlmOWYtMmE2OWVhNTU2OTVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Sony Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",30 Jun 2004,True,127 min,Spider-Man 2,movie,http://spiderman.sonypictures.com/,"Stan Lee (comic book), Steve Ditko (comic book), Alfred Gough (screen story), Miles Millar (screen story), Michael Chabon (screen story), Alvin Sargent (screenplay)",2004,tt0316654,7.3,"463,699"
2,"Jim Caviezel, Maia Morgenstern, Christo Jivkov, Francesco De Vito",Nominated for 3 Oscars. Another 28 wins & 21 nominations.,"$368,000,000",USA,31 Aug 2004,Mel Gibson,Drama,"Aramaic, Latin, Hebrew",47,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",https://ia.media-imdb.com/images/M/MV5BNDY1N2IyYWMtZTY4OS00OGM1LTkxNmUtOTQzYmM5MmI2YmVmXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Newmarket Film Group,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",25 Feb 2004,True,127 min,The Passion of the Christ,movie,http://www.thepassionofthechrist.com/skip.html,"Benedict Fitzgerald (screenplay), Mel Gibson (screenplay)",2004,tt0335345,7.2,"192,148"
3,"Robert De Niro, Ben Stiller, Dustin Hoffman, Barbra Streisand",2 wins & 7 nominations.,"$279,167,575",USA,26 Apr 2005,Jay Roach,"Comedy, Romance","English, Spanish, Hebrew",41,All hell breaks loose when the Byrnes family meets the Focker family for the first time.,https://ia.media-imdb.com/images/M/MV5BMWZjODQxMWMtZmIzYS00YjMwLWFiZTctYmFiZmJiNjljYWVmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",22 Dec 2004,True,115 min,Meet the Fockers,movie,http://www.meetthefockers.com/,"Greg Glienna (characters), Mary Ruth Clarke (characters), Jim Herzfeld (story), Marc Hyman (story), Jim Herzfeld (screenplay), John Hamburg (screenplay)",2004,tt0290002,6.3,"229,261"
4,"Craig T. Nelson, Holly Hunter, Samuel L. Jackson, Jason Lee",Won 2 Oscars. Another 65 wins & 55 nominations.,N/A,USA,29 Mar 2005,Brad Bird,"Animation, Action, Adventure","English, French",90,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",https://ia.media-imdb.com/images/M/MV5BMTY5OTU0OTc2NV5BMl5BanBnXkFtZTcwMzU4MDcyMQ@@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Metacritic', 'Value': '90/100'}]",05 Nov 2004,True,115 min,The Incredibles,movie,N/A,Brad Bird,2004,tt0317705,8.0,"541,773"
5,"Daniel Radcliffe, Richard Griffiths, Pam Ferris, Fiona Shaw",Nominated for 2 Oscars. Another 14 wins & 45 nominations.,"$249,358,727","UK, USA",22 Nov 2004,Alfonso Cuarón,"Adventure, Family, Fantasy",English,82,"It's Harry's third year at Hogwarts; not only does he have a new ""Defense Against the Dark Arts"" teacher, but there is also trouble brewing. Convicted murderer Sirius Black has escaped the Wizards' Prison and is coming after Harry.",https://ia.media-imdb.com/images/M/MV5BMTY4NTIwODg0N15BMl5BanBnXkFtZTcwOTc0MjEzMw@@._V1_SX300.jpg,Warner Bros. Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",04 Jun 2004,True,142 min,Harry Potter and the Prisoner of Azkaban,movie,http://azkaban.warnerbros.com/,"J.K. Rowling (novel), Steve Kloves (screenplay)",2004,tt0304141,7.8,"443,857"
6,"Dennis Quaid, Jake Gyllenhaal, Emmy Rossum, Dash Mihok",Won 1 BAFTA Film Award. Another 5 wins & 12 nominations.,"$186,583,549",USA,12 Oct 2004,Roland Emmerich,"Action, Adventure, Sci-Fi","English, Japanese, French, Arabic",47,"Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City, to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.",https://ia.media-imdb.com/images/M/MV5BMTU1NTA3NzMwOV5BMl5BanBnXkFtZTcwNzEzMTEzMw@@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",28 May 2004,True,124 min,The Day After Tomorrow,movie,http://www.thedayaftertomorrow.com/,"Roland Emmerich (story), Roland Emmerich (screenplay), Jeffrey Nachmanoff (screenplay)",2004,tt0319262,6.4,"366,862"
7,"Tom Hanks, Leslie Zemeckis, Eddie Deezen, Nona Gaye",Nominated for 3 Oscars. Another 5 wins & 23 nominations.,"$162,800,000",USA,22 Nov 2005,Robert Zemeckis,"Animation, Adventure, Family",English,61,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas.",https://ia.media-imdb.com/images/M/MV5BMTM1NTU0NTE4MV5BMl5BanBnXkFtZTcwMTQ0MjEzMw@@._V1_SX300.jpg,Warner Bros. Pictures,G,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",10 Nov 2004,True,100 min,The Polar Express,movie,http://polarexpressmovie.warnerbros.com/,"Chris Van Allsburg (book), Robert Zemeckis (screenplay), William Broyles Jr. (screenplay)",2004,tt0338348,6.6,"142,111"
8,"Matt Damon, Franka Potente, Brian Cox, Julia Stiles",5 wins & 21 nominations.,"$176,049,130","USA, Germany",07 Dec 2004,Paul Greengrass,"Action, Mystery, Thriller","English, Russian, German, Italian",73,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",https://ia.media-imdb.com/images/M/MV5BYTIyMDFmMmItMWQzYy00MjBiLTg2M2UtM2JiNDRhOWE4NjBhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",23 Jul 2004,True,108 min,The Bourne Supremacy,movie,http://www.thebournesupremacy.com/,"Robert Ludlum (novel), Tony Gilroy (screenplay)",2004,tt0372183,7.8,"388,547"
9,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean",1 win & 9 nominations.,"$172,975,674",USA,03 May 2005,Jon Turteltaub,"Action, Adventure, Family","English, Spanish",39,A historian races to find the legendary Templar Treasure before a team of mercenaries.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3NTc4OTYxMF5BMl5BanBnXkFtZTcwMjk5NzUyMw@@._V1_SX300.jpg,Buena Vista,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",19 Nov 2004,True,131 min,National Treasure,movie,http://www.nationaltreasure.com/,"Jim Kouf (screenplay), Cormac Wibberley (screenplay), Marianne Wibberley (screenplay), Jim Kouf (story), Oren Aviv (story), Charles Segars (story)",2004,tt0368891,6.9,"272,884"
