,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes
0,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang",Won 3 Oscars. Another 85 wins & 128 nominations.,"$749,700,000","UK, USA",22 Apr 2010,James Cameron,"Action, Adventure, Fantasy","English, Spanish",83,A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,https://ia.media-imdb.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",18 Dec 2009,True,162 min,Avatar,movie,http://www.avatarmovie.com/,James Cameron,2009,tt0499549,7.8,"985,058"
1,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",Nominated for 1 Oscar. Another 15 wins & 27 nominations.,"$402,076,689",USA,20 Oct 2009,Michael Bay,"Action, Adventure, Sci-Fi","English, Spanish",35,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",https://ia.media-imdb.com/images/M/MV5BNjk4OTczOTk0NF5BMl5BanBnXkFtZTcwNjQ0NzMzMw@@._V1_SX300.jpg,Paramount/Dreamworks,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",24 Jun 2009,True,150 min,Transformers: Revenge of the Fallen,movie,http://www.TransformersMovie.com/,"Ehren Kruger, Roberto Orci, Alex Kurtzman",2009,tt1055369,6.0,"349,263"
2,"Daniel Radcliffe, Michael Gambon, Dave Legeno, Elarica Johnson",Nominated for 1 Oscar. Another 8 wins & 35 nominations.,"$301,920,409","UK, USA",08 Dec 2009,David Yates,"Adventure, Family, Fantasy",English,78,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",https://ia.media-imdb.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_SX300.jpg,Warner Bros. Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",15 Jul 2009,True,153 min,Harry Potter and the Half-Blood Prince,movie,http://www.harrypotter.com/,"Steve Kloves (screenplay), J.K. Rowling (novel)",2009,tt0417741,7.6,"379,695"
3,"Kristen Stewart, Christina Jastrzembska, Robert Pattinson, Billy Burke",20 wins & 24 nominations.,"$296,593,070",USA,20 Mar 2010,Chris Weitz,"Adventure, Drama, Fantasy","English, Italian",44,"Edward leaves Bella after an attack that nearly claimed her life, and in her depression she falls into yet another paranormal relationship - this time with werewolf Jacob Black.",https://ia.media-imdb.com/images/M/MV5BMTI3MjE3NDIxNF5BMl5BanBnXkFtZTcwODM3NTY5Mg@@._V1_SX300.jpg,Summit Entertainment,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",20 Nov 2009,True,130 min,The Twilight Saga: New Moon,movie,http://www.newmoonthemovie.com/,"Melissa Rosenberg (screenplay), Stephenie Meyer (novel)",2009,tt1259571,4.7,"237,583"
4,"Edward Asner, Christopher Plummer, Jordan Nagai, Bob Peterson",Won 2 Oscars. Another 74 wins & 81 nominations.,"$292,979,556",USA,10 Nov 2009,"Pete Docter, Bob Peterson(co-director)","Animation, Adventure, Comedy",English,88,"Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.",https://ia.media-imdb.com/images/M/MV5BMTk3NDE2NzI4NF5BMl5BanBnXkFtZTgwNzE1MzEyMTE@._V1_SX300.jpg,Walt Disney Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",29 May 2009,True,96 min,Up,movie,http://Disney.com/UP,"Pete Docter (story by), Bob Peterson (story by), Tom McCarthy (story by), Bob Peterson (screenplay by), Pete Docter (screenplay by)",2009,tt1049413,8.3,"779,157"
5,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha",Won 1 Golden Globe. Another 12 wins & 25 nominations.,"$277,313,371","USA, Germany",15 Dec 2009,Todd Phillips,Comedy,English,73,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",https://ia.media-imdb.com/images/M/MV5BNDAxMTZmZGItZmM2NC00M2E1LWI1NmEtZjhhODM2MGU0ZmJlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",05 Jun 2009,True,100 min,The Hangover,movie,http://hangovermovie.warnerbros.com/,"Jon Lucas, Scott Moore",2009,tt1119646,7.7,"635,864"
6,"Chris Pine, Zachary Quinto, Leonard Nimoy, Eric Bana",Won 1 Oscar. Another 23 wins & 92 nominations.,"$257,704,099","USA, Germany",17 Nov 2009,J.J. Abrams,"Action, Adventure, Sci-Fi",English,82,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,https://ia.media-imdb.com/images/M/MV5BMjE5NDQ5OTE4Ml5BMl5BanBnXkFtZTcwOTE3NDIzMw@@._V1_SX300.jpg,IMAX,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",08 May 2009,True,127 min,Star Trek,movie,http://www.startrekmovie.com/,"Roberto Orci, Alex Kurtzman, Gene Roddenberry (television series ""Star Trek"")",2009,tt0796366,8.0,"542,359"
7,"Sandra Bullock, Tim McGraw, Quinton Aaron, Jae Head",Won 1 Oscar. Another 7 wins & 30 nominations.,"$255,900,000",USA,23 Mar 2010,John Lee Hancock,"Biography, Drama, Sport",English,53,"The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzOTE3ODM3OF5BMl5BanBnXkFtZTcwMzYyODI4Mg@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",20 Nov 2009,True,129 min,The Blind Side,movie,http://www.TheBlindSideMovie.com,"John Lee Hancock, Michael Lewis (book)",2009,tt0878804,7.7,"249,147"
8,"Zachary Levi, David Cross, Jason Lee, Justin Long",3 wins.,"$219,304,216",USA,30 Mar 2010,Betty Thomas,"Animation, Comedy, Family","English, French",41,"The world famous singing pre-teen chipmunk trio return to contend with the pressures of school, celebrity, and a rival female music group known as The Chipettes.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjI0NTc3MjU5M15BMl5BanBnXkFtZTcwODM4Nzg2Mg@@._V1_SX300.jpg,20th Century Fox,PG,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",23 Dec 2009,True,88 min,Alvin and the Chipmunks: The Squeakquel,movie,http://www.chipmunks.com/,"Jon Vitti, Jonathan Aibel, Glenn Berger, Ross Bagdasarian (characters Alvin and the Chipmunks)",2009,tt1231580,4.5,"35,878"
9,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong",Nominated for 2 Oscars. Another 10 wins & 27 nominations.,"$208,711,166","USA, Germany",30 Mar 2010,Guy Ritchie,"Action, Adventure, Crime","English, French",57,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,https://ia.media-imdb.com/images/M/MV5BMTg0NjEwNjUxM15BMl5BanBnXkFtZTcwMzk0MjQ5Mg@@._V1_SX300.jpg,Warner Bros. Pictures/Village Roadshow,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",25 Dec 2009,True,128 min,Sherlock Holmes,movie,http://sherlock-holmes-movie.warnerbros.com/,"Michael Robert Johnson (screenplay), Anthony Peckham (screenplay), Simon Kinberg (screenplay), Lionel Wigram (screen story), Michael Robert Johnson (screen story), Arthur Conan Doyle (characters: Sherlock Holmes,  Dr. Watson)",2009,tt0988045,7.6,"522,638"
