,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes
0,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen",Nominated for 2 Oscars. Another 23 wins & 78 nominations.,"$532,171,696",USA,04 Apr 2017,Gareth Edwards,"Action, Adventure, Sci-Fi",English,65,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans.,https://ia.media-imdb.com/images/M/MV5BMjEwMzMxODIzOV5BMl5BanBnXkFtZTgwNzg3OTAzMDI@._V1_SX300.jpg,Walt Disney Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",16 Dec 2016,True,133 min,Rogue One: A Star Wars Story,movie,http://www.starwars.com/,"Chris Weitz (screenplay by), Tony Gilroy (screenplay by), John Knoll (story by), Gary Whitta (story by), George Lucas (based on characters created by)",2016,tt3748528,7.8,"413,891"
1,"Ellen DeGeneres, Albert Brooks, Ed O'Neill, Kaitlin Olson",Nominated for 1 BAFTA Film Award. Another 15 wins & 42 nominations.,"$486,292,984",USA,15 Nov 2016,"Andrew Stanton, Angus MacLane(co-director)","Animation, Adventure, Comedy","English, Indonesian",77,"The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzg4MjM2NDQ4MV5BMl5BanBnXkFtZTgwMzk3MTgyODE@._V1_SX300.jpg,Walt Disney Pictures/PIXAR,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",17 Jun 2016,True,97 min,Finding Dory,movie,http://movies.disney.com/finding-dory,"Andrew Stanton (original story by), Andrew Stanton (screenplay by), Victoria Strouse (screenplay by), Bob Peterson (additional screenplay material by), Angus MacLane (additional story material by)",2016,tt2277860,7.4,"186,669"
2,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan",16 wins & 65 nominations.,"$408,080,554","USA, Germany",13 Sep 2016,"Anthony Russo, Joe Russo","Action, Adventure, Sci-Fi","English, German, Xhosa, Russian, Romanian, Hindi",75,Political involvement in the Avengers' activities causes a rift between Captain America and Iron Man.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_SX300.jpg,Walt Disney Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",06 May 2016,True,147 min,Captain America: Civil War,movie,http://marvel.com/captainamerica#/home,"Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Joe Simon (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by)",2016,tt3498820,7.8,"473,896"
3,"Louis C.K., Eric Stonestreet, Kevin Hart, Jenny Slate",4 wins & 15 nominations.,"$368,305,960","Japan, USA",06 Dec 2016,"Chris Renaud, Yarrow Cheney(co-director)","Animation, Adventure, Comedy",English,61,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",https://ia.media-imdb.com/images/M/MV5BMjIzMzA1OTkzNV5BMl5BanBnXkFtZTgwODE3MjM4NzE@._V1_SX300.jpg,Universal Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",08 Jul 2016,True,87 min,The Secret Life of Pets,movie,http://www.thesecretlifeofpets.com/,"Cinco Paul, Ken Daurio, Brian Lynch",2016,tt2709768,6.5,"144,506"
4,"Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba",Won 1 Oscar. Another 31 wins & 54 nominations.,"$363,995,937","UK, USA",30 Aug 2016,Jon Favreau,"Adventure, Drama, Family",English,77,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.",https://ia.media-imdb.com/images/M/MV5BMTc3NTUzNTI4MV5BMl5BanBnXkFtZTgwNjU0NjU5NzE@._V1_SX300.jpg,Walt Disney Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",15 Apr 2016,True,106 min,The Jungle Book,movie,http://movies.disney.com/the-jungle-book-2016,"Justin Marks (screenplay by), Rudyard Kipling (based on the books by)",2016,tt3040964,7.5,"224,074"
5,"Ryan Reynolds, Karan Soni, Ed Skrein, Michael Benyaer",Nominated for 2 Golden Globes. Another 27 wins & 73 nominations.,"$328,674,489",USA,10 May 2016,Tim Miller,"Action, Adventure, Comedy",English,65,A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.,https://ia.media-imdb.com/images/M/MV5BYzE5MjY1ZDgtMTkyNC00MTMyLThhMjAtZGI5OTE1NzFlZGJjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,20th Century Fox,R,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",12 Feb 2016,True,108 min,Deadpool,movie,http://www.foxmovies.com/deadpool,"Rhett Reese, Paul Wernick",2016,tt1431045,8.0,"708,640"
6,"Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate",Won 1 Oscar. Another 45 wins & 65 nominations.,"$341,264,012",USA,07 Jun 2016,"Byron Howard, Rich Moore, Jared Bush(co-director)","Animation, Adventure, Comedy",English,78,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",https://ia.media-imdb.com/images/M/MV5BOTMyMjEyNzIzMV5BMl5BanBnXkFtZTgwNzIyNjU0NzE@._V1_SX300.jpg,Walt Disney Animation Studios,PG,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",04 Mar 2016,True,108 min,Zootopia,movie,http://movies.disney.com/zootopia,"Byron Howard (story by), Rich Moore (story by), Jared Bush (story by), Jim Reardon (story by), Josie Trinidad (story by), Phil Johnston (story by), Jennifer Lee (story by), Jared Bush (screenplay by), Phil Johnston (screenplay by)",2016,tt2948356,8.0,"343,125"
7,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg",14 wins & 30 nominations.,"$293,792,936",USA,19 Jul 2016,Zack Snyder,"Action, Adventure, Fantasy",English,44,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",https://ia.media-imdb.com/images/M/MV5BYThjYzcyYzItNTVjNy00NDk0LTgwMWQtYjMwNmNlNWJhMzMyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",25 Mar 2016,True,151 min,Batman v Superman: Dawn of Justice,movie,http://www.facebook.com/batmanvsuperman,"Chris Terrio, David S. Goyer, Bob Kane (Batman created by), Bill Finger (Batman created by), Jerry Siegel (Superman created by), Joe Shuster (Superman created by), William Moulton Marston (character created by: Wonder Woman)",2016,tt2975590,6.6,"527,424"
8,"Will Smith, Jaime FitzSimons, Ike Barinholtz, Margot Robbie",Won 1 Oscar. Another 16 wins & 37 nominations.,"$325,021,779",USA,13 Dec 2016,David Ayer,"Action, Adventure, Fantasy","English, Japanese, Spanish",40,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,https://ia.media-imdb.com/images/M/MV5BMjM1OTMxNzUyM15BMl5BanBnXkFtZTgwNjYzMTIzOTE@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",05 Aug 2016,True,123 min,Suicide Squad,movie,http://www.suicidesquad.com/,David Ayer,2016,tt1386697,6.1,"475,531"
9,"Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson",Nominated for 2 Golden Globes. Another 2 wins & 21 nominations.,"$270,322,940","Japan, USA",21 Mar 2017,"Garth Jennings, Christophe Lourdelet(co-director)","Animation, Comedy, Family","English, Japanese, Ukrainian",59,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same.",https://ia.media-imdb.com/images/M/MV5BMTYzODYzODU2Ml5BMl5BanBnXkFtZTgwNTc1MTA2NzE@._V1_SX300.jpg,Illumination Entertainment,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",21 Dec 2016,True,108 min,Sing,movie,http://www.singmovie.com/,Garth Jennings,2016,tt3470600,7.1,"97,529"
