,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes
0,"Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco",Nominated for 2 Oscars. Another 16 wins & 58 nominations.,"$403,706,375",USA,01 Nov 2002,Sam Raimi,"Action, Adventure, Sci-Fi",English,73,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",https://ia.media-imdb.com/images/M/MV5BZDEyN2NhMjgtMjdhNi00MmNlLWE5YTgtZGE4MzNjMTRlMGEwXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg,Columbia Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",03 May 2002,True,121 min,Spider-Man,movie,http://spiderman.sonypictures.com/,"Stan Lee (Marvel comic book), Steve Ditko (Marvel comic book), David Koepp (screenplay)",2002,tt0145487,7.3,"605,084"
1,"Bruce Allpress, Sean Astin, John Bach, Sala Baker",Won 2 Oscars. Another 118 wins & 137 nominations.,"$339,700,000","USA, New Zealand",26 Aug 2003,Peter Jackson,"Adventure, Drama, Fantasy","English, Sindarin, Old English",87,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",https://ia.media-imdb.com/images/M/MV5BMDY0NmI4ZjctN2VhZS00YzExLTkyZGItMTJhOTU5NTg4MDU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,New Line Cinema,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",18 Dec 2002,True,179 min,The Lord of the Rings: The Two Towers,movie,http://www.lordoftherings.net/,"J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Stephen Sinclair (screenplay), Peter Jackson (screenplay)",2002,tt0167261,8.7,"1,247,222"
2,"Ewan McGregor, Natalie Portman, Hayden Christensen, Christopher Lee",Nominated for 1 Oscar. Another 16 wins & 58 nominations.,"$307,900,000",USA,12 Nov 2002,George Lucas,"Action, Adventure, Fantasy",English,54,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi.",https://ia.media-imdb.com/images/M/MV5BOWNkZmVjODAtNTFlYy00NTQwLWJhY2UtMmFmZTkyOWJmZjZiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,20th Century Fox,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",16 May 2002,True,142 min,Star Wars: Episode II - Attack of the Clones,movie,http://www.starwars.com/episode-ii/,"George Lucas (screenplay by), Jonathan Hales (screenplay by), George Lucas (story by)",2002,tt0121765,6.6,"538,939"
3,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Griffiths",Nominated for 3 BAFTA Film Awards. Another 11 wins & 42 nominations.,"$261,835,892","UK, USA, Germany",11 Apr 2003,Chris Columbus,"Adventure, Family, Fantasy",English,63,"Harry ignores warnings not to return to Hogwarts, only to find the school plagued by a series of mysterious attacks and a strange voice haunting him.",https://ia.media-imdb.com/images/M/MV5BMTcxODgwMDkxNV5BMl5BanBnXkFtZTYwMDk2MDg3._V1_SX300.jpg,Warner Bros. Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",15 Nov 2002,True,161 min,Harry Potter and the Chamber of Secrets,movie,http://harrypotter.warnerbros.com/,"J.K. Rowling (novel), Steve Kloves (screenplay)",2002,tt0295297,7.4,"452,491"
4,"Nia Vardalos, Michael Constantine, Christina Eleusiniotis, Kaylee Vieira",Nominated for 1 Oscar. Another 20 wins & 28 nominations.,"$241,250,669","Canada, USA",11 Feb 2003,Joel Zwick,"Comedy, Drama, Romance","English, Greek",62,A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.,https://ia.media-imdb.com/images/M/MV5BNzcwOWU4NGEtYjUyMy00MDNlLThiN2MtYzFlMjk4Y2FhNjlmXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,IFC Films,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",02 Aug 2002,True,95 min,My Big Fat Greek Wedding,movie,http://movies.yahoo.com/greekwedding,Nia Vardalos,2002,tt0259446,6.6,"110,042"
5,"Mel Gibson, Joaquin Phoenix, Rory Culkin, Abigail Breslin",3 wins & 32 nominations.,"$227,935,522",USA,07 Jan 2003,M. Night Shyamalan,"Drama, Mystery, Sci-Fi","English, Portuguese",59,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,https://ia.media-imdb.com/images/M/MV5BNDUwMDUyMDAyNF5BMl5BanBnXkFtZTYwMDQ3NzM3._V1_SX300.jpg,Buena Vista Distribution Compa,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",02 Aug 2002,True,106 min,Signs,movie,http://bventertainment.go.com/movies/signs/index.html,M. Night Shyamalan,2002,tt0286106,6.7,"299,121"
6,"Mike Myers, Beyoncé, Seth Green, Michael York",5 wins & 21 nominations.,"$213,079,163",USA,03 Dec 2002,Jay Roach,"Action, Adventure, Comedy","English, Japanese, German, French",62,"Upon learning that his father has been kidnapped, Austin Powers must travel to 1975 and defeat the aptly named villain Goldmember, who is working with Dr. Evil.",https://ia.media-imdb.com/images/M/MV5BMTI3NTkzODI0MF5BMl5BanBnXkFtZTYwNjc5MTA3._V1_SX300.jpg,New Line Cinema,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",26 Jul 2002,True,94 min,Austin Powers in Goldmember,movie,http://www.austinpowers.com/,"Mike Myers, Michael McCullers, Mike Myers (characters created by)",2002,tt0295178,6.2,"175,280"
7,"Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle",4 wins & 15 nominations.,"$190,400,000",USA,26 Nov 2002,Barry Sonnenfeld,"Action, Adventure, Comedy",English,49,Agent J needs help so he is sent to find Agent K and restore his memory.,https://ia.media-imdb.com/images/M/MV5BMTMxNDA0NTMxMV5BMl5BanBnXkFtZTYwMDE2NzY2._V1_SX300.jpg,Columbia Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",03 Jul 2002,True,88 min,Men in Black II,movie,http://www.sonypictures.com/movies/meninblack/,"Lowell Cunningham (comic book ""Malibu Comics""), Robert Gordon (story), Robert Gordon (screenplay), Barry Fanaro (screenplay)",2002,tt0120912,6.1,"290,823"
8,"Ray Romano, John Leguizamo, Denis Leary, Goran Visnjic",Nominated for 1 Oscar. Another 5 wins & 29 nominations.,"$176,400,000",USA,26 Nov 2002,"Chris Wedge, Carlos Saldanha(co-director)","Animation, Adventure, Comedy",English,60,"Set during the Ice Age, a sabertooth tiger, a sloth, and a wooly mammoth find a lost human infant, and they try to return him to his tribe.",https://ia.media-imdb.com/images/M/MV5BMmYxZWY2NzgtYzJjZC00MDFmLTgxZTctMjRiYjdjY2FhODg3XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,20th Century Fox,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",15 Mar 2002,True,81 min,Ice Age,movie,http://www.iceagemovie.com,"Michael J. Wilson (story), Michael Berg (screenplay), Michael J. Wilson (screenplay), Peter Ackerman (screenplay), James Bresnahan (additional story), Doug Compton (additional story), Jeff Siergey (additional story), Mike Thurmeier (additional story), Galen T. Chu (additional story), Xeth Feinberg (additional story)",2002,tt0268380,7.5,"370,115"
9,"Taye Diggs, Cliff Saunders, Catherine Zeta-Jones, Renée Zellweger",Won 6 Oscars. Another 51 wins & 128 nominations.,N/A,"USA, Germany, Canada",19 Aug 2003,Rob Marshall,"Comedy, Crime, Musical","English, Hungarian",82,Murderesses Velma Kelly and Roxie Hart find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago.,https://ia.media-imdb.com/images/M/MV5BN2E3NDU1ZTktNzZjNy00MWU3LWI4YmMtMjdjNTIzMDU0MDdiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Miramax Films,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",24 Jan 2003,True,113 min,Chicago,movie,http://www.miramax.com/movie/chicago,"Bill Condon (screenplay), Bob Fosse (book), Fred Ebb (book), Maurine Dallas Watkins (play)",2002,tt0299658,7.2,"191,490"
